Month,Date,"RPI, % change over 12 months","CPI, % change over 12 months",Change in weekly pay over 12 months
June,Jun-48,9.7,,
July,Jul-48,7.2,,
August,Aug-48,7.9,,
September,Sep-48,7.6,,
October,Oct-48,7,,
November,Nov-48,5.1,,
December,Dec-48,4.9,,
January,Jan-49,4.6,,
February,Feb-49,2.9,,
March,Mar-49,2.3,,
April,Apr-49,0.6,,
May,May-49,2.6,,
June,Jun-49,1.3,,
July,Jul-49,3,,
August,Aug-49,3.1,,
September,Sep-49,3.2,,
October,Oct-49,3.6,,
November,Nov-49,3.3,,
December,Dec-49,3.5,,
January,Jan-50,3.6,,
February,Feb-50,3.7,,
March,Mar-50,4.2,,
April,Apr-50,4.9,,
May,May-50,3.3,,
June,Jun-50,2.3,,
July,Jul-50,2.2,,
August,Aug-50,1.7,,
September,Sep-50,2,,
October,Oct-50,2.5,,
November,Nov-50,2.9,,
December,Dec-50,3.2,,
January,Jan-51,3.9,,
February,Feb-51,4.6,,
March,Mar-51,5,,
April,Apr-51,6.3,,
May,May-51,8.7,,
June,Jun-51,9.6,,
July,Jul-51,11.3,,
August,Aug-51,12.2,,
September,Sep-51,12.3,,
October,Oct-51,11.9,,
November,Nov-51,11.9,,
December,Dec-51,12,,
January,Jan-52,13,,
February,Feb-52,12,,
March,Mar-52,11.8,,
April,Apr-52,11.8,,
May,May-52,9.1,,
June,Jun-52,10.6,,
July,Jul-52,8.8,,
August,Aug-52,7.6,,
September,Sep-52,6.7,,
October,Oct-52,6.9,,
November,Nov-52,6.3,,
December,Dec-52,6.4,,
January,Jan-53,4.4,,
February,Feb-53,4.6,,
March,Mar-53,4.8,,
April,Apr-53,4.1,,
May,May-53,3.7,,
June,Jun-53,2.6,,
July,Jul-53,2.7,,
August,Aug-53,2.6,,
September,Sep-53,2.6,,
October,Oct-53,1.7,,
November,Nov-53,2.1,,
December,Dec-53,1.1,,
January,Jan-54,1.3,,
February,Feb-54,0.9,,
March,Mar-54,1.1,,
April,Apr-54,0.6,,
May,May-54,0.7,,
June,Jun-54,0.7,,
July,Jul-54,2.3,,
August,Aug-54,2.4,,
September,Sep-54,2.4,,
October,Oct-54,2.8,,
November,Nov-54,3,,
December,Dec-54,4,,
January,Jan-55,4.2,,
February,Feb-55,4.4,,
March,Mar-55,3.4,,
April,Apr-55,3.6,,
May,May-55,3.7,,
June,Jun-55,5.2,,
July,Jul-55,3.8,,
August,Aug-55,3.8,,
September,Sep-55,4.6,,
October,Oct-55,5.2,,
November,Nov-55,6.4,,
December,Dec-55,5.8,,
January,Jan-56,5.1,,
February,Feb-56,5.1,,
March,Mar-56,6.4,,
April,Apr-56,7.3,,
May,May-56,7.3,,
June,Jun-56,5,,
July,Jul-56,4.3,,
August,Aug-56,5.2,,
September,Sep-56,4.4,,
October,Oct-56,3.9,,
November,Nov-56,2.7,,
December,Dec-56,3,,
January,Jan-57,4.4,,
February,Feb-57,4.3,,
March,Mar-57,2.8,,
April,Apr-57,1.8,,
May,May-57,2,,
June,Jun-57,3.2,,
July,Jul-57,4.5,,
August,Aug-57,4,,
September,Sep-57,3.9,,
October,Oct-57,4.3,,
November,Nov-57,4.5,,
December,Dec-57,4.6,,
January,Jan-58,3.5,,
February,Feb-58,3.2,,
March,Mar-58,4.1,,
April,Apr-58,4.9,,
May,May-58,4.4,,
June,Jun-58,4.3,,
July,Jul-58,1.8,,
August,Aug-58,1.8,,
September,Sep-58,2.2,,
October,Oct-58,2.1,,
November,Nov-58,1.9,,
December,Dec-58,1.8,,
January,Jan-59,2.1,,
February,Feb-59,2.5,,
March,Mar-59,1.8,,
April,Apr-59,-0.1,,
May,May-59,-0.1,,
June,Jun-59,-0.8,,
July,Jul-59,0.5,,
August,Aug-59,0.9,,
September,Sep-59,0.3,,
October,Oct-59,-0.2,,
November,Nov-59,0.2,,
December,Dec-59,0,,
January,Jan-60,-0.5,,
February,Feb-60,-0.4,,
March,Mar-60,-0.5,,
April,Apr-60,0.7,,
May,May-60,1.1,,
June,Jun-60,1.5,,
July,Jul-60,1.9,,
August,Aug-60,1,,
September,Sep-60,1.7,,
October,Oct-60,2,,
November,Nov-60,1.7,,
December,Dec-60,1.8,,
January,Jan-61,2.2,,
February,Feb-61,2.2,,
March,Mar-61,2.7,,
April,Apr-61,2.7,,
May,May-61,3,,
June,Jun-61,3.3,,
July,Jul-61,3.2,,
August,Aug-61,4.8,,
September,Sep-61,4.5,,
October,Oct-61,3.9,,
November,Nov-61,4.5,,
December,Dec-61,4.4,,
January,Jan-62,4.6,,
February,Feb-62,4.7,,
March,Mar-62,4.8,,
April,Apr-62,5.6,,
May,May-62,5.7,,
June,Jun-62,5.5,,
July,Jul-62,5.1,,
August,Aug-62,3.2,,
September,Sep-62,3.3,,
October,Oct-62,2.9,,
November,Nov-62,2.3,,
December,Dec-62,2.6,,
January,Jan-63,2.7,,
February,Feb-63,3.5,,
March,Mar-63,3.2,,
April,Apr-63,2.1,,
May,May-63,1.7,,
June,Jun-63,1,,
July,Jul-63,0.8,,
August,Aug-63,1.4,,
September,Sep-63,1.8,,
October,Oct-63,2.3,,
November,Nov-63,2.2,,
December,Dec-63,1.9,,
January,Jan-64,1.9,,
February,Feb-64,1.2,,
March,Mar-64,1.4,,
April,Apr-64,2,,
May,May-64,3,,
June,Jun-64,3.4,,
July,Jul-64,4,,
August,Aug-64,4.7,,
September,Sep-64,4.4,,
October,Oct-64,4.1,,
November,Nov-64,4.6,,
December,Dec-64,4.8,,
January,Jan-65,4.6,,
February,Feb-65,4.5,,
March,Mar-65,4.5,,
April,Apr-65,5.6,,
May,May-65,5,,
June,Jun-65,4.9,,
July,Jul-65,4.9,,
August,Aug-65,4.7,,
September,Sep-65,4.8,,
October,Oct-65,4.8,,
November,Nov-65,4.4,,
December,Dec-65,4.5,,
January,Jan-66,4.4,,
February,Feb-66,4.5,,
March,Mar-66,4.3,,
April,Apr-66,3.6,,
May,May-66,3.9,,
June,Jun-66,3.9,,
July,Jul-66,3.5,,
August,Aug-66,3.9,,
September,Sep-66,3.6,,
October,Oct-66,3.8,,
November,Nov-66,4,,
December,Dec-66,3.7,,
January,Jan-67,3.7,,
February,Feb-67,3.7,,
March,Mar-67,3.5,,
April,Apr-67,3,,
May,May-67,2.2,,
June,Jun-67,2.4,,
July,Jul-67,2.2,,
August,Aug-67,1.4,,
September,Sep-67,1.5,,
October,Oct-67,2,,
November,Nov-67,1.9,,
December,Dec-67,2.5,,
January,Jan-68,2.6,,
February,Feb-68,3,,
March,Mar-68,3.4,,
April,Apr-68,4.4,,
May,May-68,4.6,,
June,Jun-68,4.6,,
July,Jul-68,5.3,,
August,Aug-68,5.7,,
September,Sep-68,5.9,,
October,Oct-68,5.6,,
November,Nov-68,5.2,,
December,Dec-68,5.9,,
January,Jan-69,6.2,,
February,Feb-69,6.2,,
March,Mar-69,6.3,,
April,Apr-69,5.5,,
May,May-69,5.3,,
June,Jun-69,5.3,,
July,Jul-69,5.3,,
August,Aug-69,4.9,,
September,Sep-69,5.1,,
October,Oct-69,5.4,,
November,Nov-69,5.4,,
December,Dec-69,4.7,,
January,Jan-70,5,,
February,Feb-70,4.9,,
March,Mar-70,5.1,,
April,Apr-70,5.6,,
May,May-70,6.1,,
June,Jun-70,5.9,,
July,Jul-70,6.7,,
August,Aug-70,6.8,,
September,Sep-70,7,,
October,Oct-70,7.4,,
November,Nov-70,7.9,,
December,Dec-70,7.9,,
January,Jan-71,8.5,,
February,Feb-71,8.5,,
March,Mar-71,8.8,,
April,Apr-71,9.4,,
May,May-71,9.8,,
June,Jun-71,10.3,,
July,Jul-71,10.1,,
August,Aug-71,10.3,,
September,Sep-71,9.9,,
October,Oct-71,9.4,,
November,Nov-71,9.2,,
December,Dec-71,9,,
January,Jan-72,8.2,,
February,Feb-72,8.1,,
March,Mar-72,7.6,,
April,Apr-72,6.3,,
May,May-72,6.1,,
June,Jun-72,6.1,,
July,Jul-72,5.8,,
August,Aug-72,6.6,,
September,Sep-72,7,,
October,Oct-72,7.9,,
November,Nov-72,7.6,,
December,Dec-72,7.7,,
January,Jan-73,7.7,,
February,Feb-73,7.9,,
March,Mar-73,8.2,,
April,Apr-73,9.2,,
May,May-73,9.5,,
June,Jun-73,9.3,,
July,Jul-73,9.4,,
August,Aug-73,8.9,,
September,Sep-73,9.3,,
October,Oct-73,9.9,,
November,Nov-73,10.3,,
December,Dec-73,10.6,,
January,Jan-74,12,,
February,Feb-74,13.2,,
March,Mar-74,13.5,,
April,Apr-74,15.2,,
May,May-74,16,,
June,Jun-74,16.5,,
July,Jul-74,17.1,,
August,Aug-74,16.9,,
September,Sep-74,17.1,,
October,Oct-74,17.1,,
November,Nov-74,18.3,,
December,Dec-74,19.1,,
January,Jan-75,19.9,,
February,Feb-75,19.9,,
March,Mar-75,21.2,,
April,Apr-75,21.7,,
May,May-75,25,,
June,Jun-75,26.1,,
July,Jul-75,26.3,,
August,Aug-75,26.9,,
September,Sep-75,26.6,,
October,Oct-75,25.9,,
November,Nov-75,25.2,,
December,Dec-75,24.9,,
January,Jan-76,23.4,,
February,Feb-76,22.9,,
March,Mar-76,21.2,,
April,Apr-76,18.9,,
May,May-76,15.4,,
June,Jun-76,13.8,,
July,Jul-76,12.9,,
August,Aug-76,13.8,,
September,Sep-76,14.3,,
October,Oct-76,14.7,,
November,Nov-76,15,,
December,Dec-76,15.1,,
January,Jan-77,16.6,,
February,Feb-77,16.2,,
March,Mar-77,16.7,,
April,Apr-77,17.5,,
May,May-77,17.1,,
June,Jun-77,17.7,,
July,Jul-77,17.6,,
August,Aug-77,16.5,,
September,Sep-77,15.6,,
October,Oct-77,14.1,,
November,Nov-77,13,,
December,Dec-77,12.1,,
January,Jan-78,9.9,,
February,Feb-78,9.5,,
March,Mar-78,9.1,,
April,Apr-78,7.9,,
May,May-78,7.7,,
June,Jun-78,7.4,,
July,Jul-78,7.8,,
August,Aug-78,8,,
September,Sep-78,7.8,,
October,Oct-78,7.8,,
November,Nov-78,8.1,,
December,Dec-78,8.4,,
January,Jan-79,9.3,,
February,Feb-79,9.6,,
March,Mar-79,9.8,,
April,Apr-79,10.1,,
May,May-79,10.3,,
June,Jun-79,11.4,,
July,Jul-79,15.6,,
August,Aug-79,15.8,,
September,Sep-79,16.5,,
October,Oct-79,17.2,,
November,Nov-79,17.4,,
December,Dec-79,17.2,,
January,Jan-80,18.4,,
February,Feb-80,19.1,,
March,Mar-80,19.8,,
April,Apr-80,21.8,,
May,May-80,21.9,,
June,Jun-80,21,,
July,Jul-80,16.9,,
August,Aug-80,16.3,,
September,Sep-80,15.9,,
October,Oct-80,15.4,,
November,Nov-80,15.3,,
December,Dec-80,15.1,,
January,Jan-81,13,,
February,Feb-81,12.5,,
March,Mar-81,12.6,,
April,Apr-81,12,,
May,May-81,11.7,,
June,Jun-81,11.3,,
July,Jul-81,10.9,,
August,Aug-81,11.5,,
September,Sep-81,11.4,,
October,Oct-81,11.7,,
November,Nov-81,12,,
December,Dec-81,12,,
January,Jan-82,12,,
February,Feb-82,11,,
